gene_symbol	ensembl_gene_id	transcript_id	mane_select	canonical	pLI	loeuf	missense_z	lof_oe	lof_observed	lof_expected	gene_flags	constraint_flags	exome_prop_bp_an90	exome_prop_segdup	exome_prop_lcr
ABCA9	ENSG00000154258	ENST00000340001	true	true	5.9649e-55	1.0074e+00	1.0479e+00	8.9116e-01	183	2.0535e+02			9.9856e-01	0.0000e+00	0.0000e+00
ABCB1	ENSG00000085563	ENST00000622132	true	true	5.4018e-07	5.9354e-01	2.4734e+00	4.8578e-01	69	1.4204e+02			1.0000e+00	0.0000e+00	0.0000e+00
ABCB10	ENSG00000135776	ENST00000344517	true	true	1.1119e-15	1.0358e+00	1.7827e+00	8.2566e-01	54	6.5402e+01			7.6649e-01	1.0343e-01	3.6134e-03
ABCB11	ENSG00000073734	ENST00000650372	true	true	1.4777e-19	7.6126e-01	1.0056e+00	6.4191e-01	95	1.4800e+02			9.9950e-01	0.0000e+00	0.0000e+00
ABCB4	ENSG00000005471	ENST00000649586	true	true	6.1125e-10	6.3148e-01	3.4537e+00	5.2178e-01	76	1.4566e+02			1.0000e+00	0.0000e+00	2.8668e-03
ABCB5	ENSG00000004846	ENST00000404938	true	true	8.2115e-57	1.2283e+00	-3.3821e+00	1.0751e+00	155	1.4418e+02			1.0000e+00	0.0000e+00	0.0000e+00
ABCB6	ENSG00000115657	ENST00000265316	true	true	4.4883e-26	1.0460e+00	6.1645e-01	8.7517e-01	87	9.9409e+01			1.0000e+00	0.0000e+00	0.0000e+00
ABCB7	ENSG00000131269	ENST00000373394	true	true	1.0000e+00	2.4186e-01	3.8284e+00	1.2876e-01	7	5.4363e+01			9.9823e-01	0.0000e+00	0.0000e+00
ABCB8	ENSG00000197150	ENST00000358849	true	true	6.5772e-13	8.9785e-01	8.9655e-01	7.1262e-01	52	7.2970e+01			1.0000e+00	0.0000e+00	0.0000e+00
ABCB9	ENSG00000150967	ENST00000280560	true	true	9.2677e-07	7.6695e-01	1.4671e+00	5.8077e-01	36	6.1987e+01			9.9956e-01	0.0000e+00	0.0000e+00
ABCC1	ENSG00000103222	ENST00000399410	true	true	9.3013e-08	5.7606e-01	1.7695e+00	4.7994e-01	83	1.7294e+02			9.8454e-01	0.0000e+00	0.0000e+00
ABCC10	ENSG00000124574	ENST00000372530	true	true	1.3838e-28	8.9982e-01	1.9618e+00	7.6800e-01	110	1.4323e+02			1.0000e+00	0.0000e+00	0.0000e+00
ABCC11	ENSG00000121270	ENST00000356608	true	true	2.0313e-41	1.0428e+00	4.3312e-01	9.0393e-01	135	1.4935e+02			9.7829e-01	0.0000e+00	0.0000e+00
ABCC12	ENSG00000140798	ENST00000311303	true	true	1.5475e-45	1.0800e+00	5.5034e-01	9.3960e-01	142	1.5113e+02			9.9975e-01	0.0000e+00	0.0000e+00
ABCC2	ENSG00000023839	ENST00000647814	true	true	3.6648e-48	1.0337e+00	2.9989e-01	9.0554e-01	157	1.7338e+02			1.0000e+00	0.0000e+00	0.0000e+00
ABCC3	ENSG00000108846	ENST00000285238	true	true	1.1928e-29	8.5103e-01	9.1538e-01	7.3178e-01	121	1.6535e+02			9.8974e-01	0.0000e+00	0.0000e+00
ABCC4	ENSG00000125257	ENST00000645237	true	true	7.4701e-19	7.1379e-01	2.1690e+00	6.0550e-01	102	1.6846e+02			9.9572e-01	0.0000e+00	2.7673e-03
ABCC5	ENSG00000114770	ENST00000334444	true	true	9.9180e-01	4.6920e-01	5.0605e+00	3.7912e-01	61	1.6090e+02			1.0000e+00	0.0000e+00	2.5516e-03
ABCC6	ENSG00000091262	ENST00000205557	true	true	2.0643e-31	8.6179e-01	1.8863e+00	7.4329e-01	126	1.6952e+02			9.6185e-01	2.6081e-01	0.0000e+00
ABCC8	ENSG00000006071	ENST00000389817	true	true	2.8688e-33	8.3980e-01	3.0229e+00	7.2876e-01	137	1.8799e+02			1.0000e+00	0.0000e+00	0.0000e+00
ABCC9	ENSG00000069431	ENST00000261200	true	true	7.8980e-11	5.9842e-01	7.6240e+00	5.0459e-01	95	1.8827e+02			1.0000e+00	0.0000e+00	0.0000e+00
ABCD1	ENSG00000101986	ENST00000218104	true	true	1.0000e+00	2.9666e-01	2.8856e+00	1.5794e-01	7	4.4320e+01			9.9866e-01	2.6890e-01	0.0000e+00
ABCD2	ENSG00000173208	ENST00000308666	true	true	8.1204e-05	6.7006e-01	2.3040e+00	5.0740e-01	36	7.0949e+01			1.0000e+00	0.0000e+00	0.0000e+00
ABCD3	ENSG00000117528	ENST00000370214	true	true	8.4215e-01	5.0437e-01	2.7682e+00	3.8873e-01	41	1.0547e+02			1.0000e+00	0.0000e+00	0.0000e+00
ABCD4	ENSG00000119688	ENST00000356924	true	true	1.4831e-10	7.7234e-01	1.1573e-01	6.1436e-01	53	8.6268e+01			1.0000e+00	0.0000e+00	0.0000e+00
ABCE1	ENSG00000164163	ENST00000296577	true	true	1.0000e+00	3.7667e-01	6.2201e+00	2.6378e-01	22	8.3402e+01			9.9555e-01	2.5042e-02	0.0000e+00
ABCF1	ENSG00000204574	ENST00000326195	true	true	1.5843e-12	7.0200e-01	3.5604e+00	5.7778e-01	73	1.2635e+02			9.9921e-01	0.0000e+00	2.3274e-02
ABCF2	ENSG00000033050	ENST00000287844	true	true	4.7109e-04	6.3271e-01	3.9364e+00	4.8094e-01	37	7.6932e+01			1.0000e+00	0.0000e+00	0.0000e+00
ABCF2-H2BE1	ENSG00000285292	ENST00000222388	false	true	4.2738e-05	6.5498e-01	3.9216e+00	5.0316e-01	40	7.9498e+01			1.0000e+00	0.0000e+00	0.0000e+00
ABCF3	ENSG00000161204	ENST00000429586	true	true	1.2912e-13	8.1249e-01	1.1544e+00	6.5764e-01	62	9.4277e+01			1.0000e+00	0.0000e+00	0.0000e+00
ABCG1	ENSG00000160179	ENST00000398449	true	true	1.5290e-01	5.7155e-01	2.5627e+00	4.1918e-01	29	6.9182e+01			1.0000e+00	0.0000e+00	0.0000e+00
ABCG2	ENSG00000118777	ENST00000237612	true	true	7.7546e-30	1.3100e+00	-1.4868e-01	1.0877e+00	80	7.3550e+01			1.0000e+00	0.0000e+00	0.0000e+00
ABCG4	ENSG00000172350	ENST00000619701	true	true	1.1915e-05	7.1783e-01	3.4641e+00	5.4142e-01	35	6.4645e+01			1.0000e+00	0.0000e+00	0.0000e+00
ABCG5	ENSG00000138075	ENST00000405322	true	true	4.5271e-22	1.2224e+00	-1.1628e+00	9.9272e-01	64	6.4470e+01			9.8054e-01	0.0000e+00	0.0000e+00
ABCG8	ENSG00000143921	ENST00000272286	true	true	2.6675e-31	1.3670e+00	-3.6629e+00	1.1364e+00	81	7.1281e+01		outlier_mis	1.0000e+00	0.0000e+00	0.0000e+00
ABHD1	ENSG00000143994	ENST00000316470	true	true	2.4208e-18	1.4463e+00	-8.8640e-01	1.1341e+00	47	4.1442e+01			1.0000e+00	0.0000e+00	0.0000e+00
ABHD10	ENSG00000144827	ENST00000273359	true	true	1.4415e-05	9.4825e-01	6.1013e-01	6.6406e-01	22	3.3129e+01			1.0000e+00	0.0000e+00	0.0000e+00
ABHD11	ENSG00000106077	ENST00000222800	true	true	9.5106e-09	1.2449e+00	8.6005e-01	8.9721e-01	26	2.8979e+01			9.9237e-01	0.0000e+00	0.0000e+00
ABHD12	ENSG00000100997	ENST00000339157	true	true	2.6616e-11	9.5111e-01	-3.3794e-02	7.3757e-01	43	5.8299e+01			8.9028e-01	0.0000e+00	0.0000e+00
ABHD12B	ENSG00000131969	ENST00000337334	true	true	1.5199e-12	1.0770e+00	-6.3011e-01	8.3268e-01	42	5.0440e+01			9.0424e-01	0.0000e+00	0.0000e+00
ABHD13	ENSG00000139826	ENST00000375898	true	true	9.6493e-01	5.2242e-01	2.1408e+00	2.7813e-01	7	2.5168e+01			1.0000e+00	0.0000e+00	0.0000e+00
ABHD14A	ENSG00000248487	ENST00000273596	true	true	2.6037e-05	1.0322e+00	7.7246e-01	7.0343e-01	19	2.7010e+01			9.1513e-01	0.0000e+00	0.0000e+00
ABHD14A-ACY1	ENSG00000114786	ENST00000463937	false	true	1.0345e-12	9.5267e-01	1.0234e+00	7.4898e-01	48	6.4087e+01			9.4957e-01	0.0000e+00	0.0000e+00
ABHD14B	ENSG00000114779	ENST00000361143	true	true	2.7369e-08	1.8067e+00	6.2634e-01	1.2313e+00	19	1.5431e+01			1.0000e+00	0.0000e+00	0.0000e+00
ABHD15	ENSG00000168792	ENST00000307201	true	true	4.3868e-12	1.3175e+00	1.0707e-01	9.8959e-01	34	3.4358e+01			9.7222e-01	0.0000e+00	0.0000e+00
ABHD16A	ENSG00000204427	ENST00000395952	true	true	1.3288e-06	6.6778e-01	2.4322e+00	5.2366e-01	47	8.9753e+01			9.2115e-01	0.0000e+00	0.0000e+00
ABHD16B	ENSG00000183260	ENST00000369916	true	true	1.3392e-06	2.0765e+00	-7.2638e-01	1.3282e+00	14	1.0540e+01			9.2111e-01	0.0000e+00	0.0000e+00
ABHD17A	ENSG00000129968	ENST00000292577	true	true	6.1176e-01	6.3255e-01	3.2972e+00	3.7292e-01	10	2.6815e+01	low_exome_mapping_quality		9.9032e-01	1.0000e+00	0.0000e+00
ABHD17B	ENSG00000107362	ENST00000333421	true	true	7.9518e-01	6.0029e-01	2.9114e+00	3.4400e-01	9	2.6163e+01			1.0000e+00	0.0000e+00	0.0000e+00
ABHD17C	ENSG00000136379	ENST00000258884	true	true	4.4629e-01	6.5188e-01	3.7415e+00	3.9383e-01	11	2.7931e+01			7.4975e-01	0.0000e+00	0.0000e+00
ABHD18	ENSG00000164074	ENST00000645843	true	true	3.9727e-16	1.0453e+00	4.5966e-01	8.3501e-01	55	6.5867e+01			1.0000e+00	0.0000e+00	0.0000e+00
ABHD2	ENSG00000140526	ENST00000352732	true	true	2.3633e-01	6.0377e-01	2.6504e+00	4.1550e-01	20	4.8135e+01			1.0000e+00	0.0000e+00	0.0000e+00
ABHD3	ENSG00000158201	ENST00000289119	true	true	2.5664e-15	1.2041e+00	1.4854e-01	9.4172e-01	46	4.8847e+01			9.9430e-01	0.0000e+00	0.0000e+00
ABHD4	ENSG00000100439	ENST00000428304	true	true	1.3798e-10	1.0982e+00	1.3155e+00	8.2834e-01	35	4.2253e+01			1.0000e+00	0.0000e+00	0.0000e+00
ABHD5	ENSG00000011198	ENST00000644371	true	true	2.8539e-07	9.0612e-01	5.0468e-01	6.6805e-01	30	4.4907e+01			1.0000e+00	0.0000e+00	0.0000e+00
ABHD6	ENSG00000163686	ENST00000478253	true	true	2.6902e-10	1.1372e+00	8.8339e-01	8.5048e-01	33	3.8801e+01			1.0000e+00	0.0000e+00	0.0000e+00
ABHD8	ENSG00000127220	ENST00000247706	true	true	8.4649e-01	5.7848e-01	1.0201e+00	3.4104e-01	10	2.9322e+01			1.0000e+00	0.0000e+00	0.0000e+00
ABI1	ENSG00000136754	ENST00000376140	true	true	9.9992e-01	4.0109e-01	2.7082e+00	2.5656e-01	14	5.4568e+01			1.0000e+00	0.0000e+00	0.0000e+00
ABI2	ENSG00000138443	ENST00000261018	true	true	1.4380e-01	5.8977e-01	2.2349e+00	4.2228e-01	25	5.9203e+01			1.0000e+00	0.0000e+00	0.0000e+00
ABI3	ENSG00000108798	ENST00000225941	true	true	8.7352e-06	9.1175e-01	8.0144e-02	6.4831e-01	24	3.7019e+01			1.0000e+00	0.0000e+00	0.0000e+00
ABI3BP	ENSG00000154175	ENST00000471714	true	true	6.8344e-58	9.0010e-01	8.4332e-01	8.0411e-01	216	2.6862e+02			9.7518e-01	0.0000e+00	0.0000e+00
ABITRAM	ENSG00000119328	ENST00000322940	true	true	2.8289e-06	1.2196e+00	1.4951e-01	8.3118e-01	19	2.2859e+01			1.0000e+00	5.1934e-01	0.0000e+00
ABL1	ENSG00000097007	ENST00000318560	true	true	1.0000e+00	1.9230e-01	4.5023e+00	1.1618e-01	11	9.4682e+01			1.0000e+00	0.0000e+00	0.0000e+00
ABL2	ENSG00000143322	ENST00000502732	true	true	9.0387e-04	5.7703e-01	2.3686e+00	4.5478e-01	49	1.0774e+02			9.8844e-01	0.0000e+00	0.0000e+00
ABLIM1	ENSG00000099204	ENST00000533213	true	true	9.7443e-01	4.8684e-01	2.0351e+00	3.7399e-01	40	1.0695e+02			1.0000e+00	0.0000e+00	0.0000e+00
ABLIM2	ENSG00000163995	ENST00000447017	true	true	4.3600e-08	6.8226e-01	4.6650e-01	5.4271e-01	53	9.7658e+01			1.0000e+00	0.0000e+00	0.0000e+00
ABLIM3	ENSG00000173210	ENST00000309868	true	true	8.7700e-10	6.8945e-01	1.3364e+00	5.5708e-01	61	1.0950e+02			9.9951e-01	0.0000e+00	0.0000e+00
ABO	ENSG00000175164	ENST00000611156	false	true	1.5326e-06	1.2805e+00	1.9522e-01	8.7265e-01	19	2.1773e+01			9.7262e-01	0.0000e+00	0.0000e+00
ABR	ENSG00000159842	ENST00000302538	true	true	9.9995e-01	4.3266e-01	3.8335e+00	3.2633e-01	35	1.0725e+02			9.9922e-01	0.0000e+00	0.0000e+00
ABRA	ENSG00000174429	ENST00000311955	true	true	3.9777e-07	1.0450e+00	-1.7828e-01	7.4820e-01	25	3.3413e+01			1.0000e+00	0.0000e+00	0.0000e+00
ABRACL	ENSG00000146386	ENST00000367660	true	true	1.0128e-01	1.3023e+00	-2.9062e-01	5.6910e-01	4	7.0286e+00			1.0000e+00	0.0000e+00	0.0000e+00
ABRAXAS1	ENSG00000163322	ENST00000321945	true	true	1.4959e-06	9.3915e-01	8.5325e-01	6.7683e-01	26	3.8414e+01			1.0000e+00	3.3904e-01	0.0000e+00
ABRAXAS2	ENSG00000165660	ENST00000298492	true	true	1.1994e-02	6.6472e-01	1.2980e+00	4.6918e-01	23	4.9022e+01			1.0000e+00	0.0000e+00	0.0000e+00
ABT1	ENSG00000146109	ENST00000274849	true	true	4.6596e-05	1.4791e+00	-1.0933e+00	9.3031e-01	13	1.3974e+01			1.0000e+00	0.0000e+00	0.0000e+00
ABTB1	ENSG00000114626	ENST00000232744	true	true	1.2158e-12	1.0097e+00	5.9988e-01	7.8756e-01	45	5.7138e+01			9.9163e-01	0.0000e+00	0.0000e+00
ABTB2	ENSG00000166016	ENST00000435224	true	true	2.7544e-08	6.7196e-01	1.4627e+00	5.3787e-01	56	1.0411e+02			1.0000e+00	0.0000e+00	0.0000e+00
ACAA1	ENSG00000060971	ENST00000333167	true	true	4.0902e-14	1.1594e+00	9.0393e-01	9.0174e-01	44	4.8794e+01			1.0000e+00	0.0000e+00	0.0000e+00
ACAA2	ENSG00000167315	ENST00000285093	true	true	5.4801e-10	1.0353e+00	2.8259e-01	7.8088e-01	35	4.4821e+01			9.5298e-01	0.0000e+00	0.0000e+00
ACACA	ENSG00000278540	ENST00000616317	true	true	1.0000e+00	4.0972e-01	1.1198e+01	3.4784e-01	103	2.9611e+02			9.9301e-01	0.0000e+00	0.0000e+00
ACACB	ENSG00000076555	ENST00000338432	true	true	5.9816e-52	8.4066e-01	3.1253e+00	7.4960e-01	209	2.7882e+02			9.9973e-01	0.0000e+00	0.0000e+00
ACAD10	ENSG00000111271	ENST00000313698	true	true	7.7351e-37	1.1217e+00	1.0582e+00	9.5879e-01	112	1.1681e+02			1.0000e+00	0.0000e+00	0.0000e+00
ACAD11	ENSG00000240303	ENST00000264990	true	true	3.9722e-23	9.7495e-01	7.0123e-01	8.1228e-01	83	1.0218e+02			9.9402e-01	0.0000e+00	0.0000e+00
ACAD8	ENSG00000151498	ENST00000281182	true	true	9.5188e-15	1.1292e+00	7.5585e-01	8.8545e-01	47	5.3080e+01			1.0000e+00	0.0000e+00	0.0000e+00
ACAD9	ENSG00000177646	ENST00000308982	true	true	4.8284e-14	9.4865e-01	3.8832e-01	7.5461e-01	53	7.0235e+01			1.0000e+00	0.0000e+00	0.0000e+00
ACADL	ENSG00000115361	ENST00000233710	true	true	6.5108e-22	1.3075e+00	7.7265e-01	1.0545e+00	60	5.6896e+01			1.0000e+00	0.0000e+00	0.0000e+00
ACADM	ENSG00000117054	ENST00000370841	true	true	1.9400e-14	1.0556e+00	2.0785e-01	8.3200e-01	49	5.8894e+01			1.0000e+00	0.0000e+00	0.0000e+00
ACADS	ENSG00000122971	ENST00000242592	true	true	8.4555e-06	8.2105e-01	8.8678e-01	5.9885e-01	28	4.6756e+01			1.0000e+00	0.0000e+00	0.0000e+00
ACADSB	ENSG00000196177	ENST00000358776	true	true	1.2790e-10	9.6279e-01	-3.7009e-01	7.3962e-01	40	5.4082e+01			9.8148e-01	0.0000e+00	0.0000e+00
ACADVL	ENSG00000072778	ENST00000356839	true	true	6.6879e-23	1.1033e+00	-2.7828e-01	9.0809e-01	73	8.0388e+01			9.8830e-01	0.0000e+00	0.0000e+00
ACAN	ENSG00000157766	ENST00000560601	true	true	1.0000e+00	3.5449e-01	3.5660e-01	2.7798e-01	47	1.6907e+02			8.2113e-01	0.0000e+00	0.0000e+00
ACAP1	ENSG00000072818	ENST00000158762	true	true	1.3875e-03	5.8414e-01	3.2353e+00	4.5561e-01	45	9.8768e+01			1.0000e+00	0.0000e+00	0.0000e+00
ACAP2	ENSG00000114331	ENST00000326793	true	true	9.9991e-01	4.3996e-01	3.7194e+00	3.3684e-01	39	1.1578e+02			1.0000e+00	0.0000e+00	0.0000e+00
ACAP3	ENSG00000131584	ENST00000354700	true	true	2.7368e-08	6.7205e-01	-4.1214e-01	5.3794e-01	56	1.0410e+02			9.6123e-01	0.0000e+00	0.0000e+00
ACAT1	ENSG00000075239	ENST00000265838	true	true	1.1170e-05	8.1139e-01	1.0307e+00	5.9181e-01	28	4.7313e+01			9.4614e-01	0.0000e+00	0.0000e+00
ACAT2	ENSG00000120437	ENST00000367048	true	true	7.8393e-07	9.7125e-01	4.0434e-01	6.9997e-01	26	3.7144e+01			1.0000e+00	0.0000e+00	0.0000e+00
ACBD3	ENSG00000182827	ENST00000366812	true	true	1.6687e-02	6.0820e-01	1.9936e+00	4.4841e-01	30	6.6903e+01			9.3561e-01	0.0000e+00	6.3131e-03
ACBD4	ENSG00000181513	ENST00000321854	true	true	4.5004e-13	1.1554e+00	1.3844e-01	8.9051e-01	41	4.6041e+01			1.0000e+00	0.0000e+00	0.0000e+00
ACBD5	ENSG00000107897	ENST00000396271	true	true	9.3132e-07	7.2489e-01	1.4357e+00	5.5687e-01	40	7.1830e+01			1.0000e+00	0.0000e+00	0.0000e+00
ACBD6	ENSG00000230124	ENST00000367595	true	true	6.7933e-08	1.0310e+00	-6.1460e-02	7.5197e-01	28	3.7235e+01			1.0000e+00	0.0000e+00	0.0000e+00
ACBD7	ENSG00000176244	ENST00000356189	true	true	5.5379e-04	1.3263e+00	-3.3454e-01	8.0131e-01	11	1.3728e+01			9.9242e-01	0.0000e+00	3.7879e-02
ACCS	ENSG00000110455	ENST00000263776	true	true	1.9433e-10	9.0855e-01	4.8264e-01	7.0244e-01	42	5.9792e+01			1.0000e+00	0.0000e+00	0.0000e+00
ACCSL	ENSG00000205126	ENST00000378832	true	true	3.4018e-17	1.1165e+00	1.0661e+00	8.9190e-01	55	6.1666e+01			9.8181e-01	0.0000e+00	0.0000e+00
ACD	ENSG00000102977	ENST00000620761	true	true	3.9508e-10	9.4569e-01	1.0887e+00	7.2403e-01	39	5.3865e+01			1.0000e+00	0.0000e+00	0.0000e+00
ACE	ENSG00000159640	ENST00000290866	true	true	7.6290e-31	8.7364e-01	-6.5413e-01	7.5169e-01	122	1.6230e+02			9.5891e-01	0.0000e+00	0.0000e+00
ACE2	ENSG00000130234	ENST00000252519	true	true	1.0000e+00	3.5455e-01	1.2981e+00	2.3026e-01	15	6.5144e+01			1.0000e+00	0.0000e+00	0.0000e+00
ACER1	ENSG00000167769	ENST00000301452	true	true	3.7326e-11	1.5442e+00	-6.1168e-02	1.1263e+00	28	2.4860e+01			1.0000e+00	0.0000e+00	0.0000e+00
ACER2	ENSG00000177076	ENST00000340967	true	true	2.2641e-07	1.0386e+00	-2.5804e-01	7.4850e-01	26	3.4736e+01			1.0000e+00	2.2303e-01	0.0000e+00
